item,itemLabel,fnames,lnames,itemDescription,birth,death,professions,summary
Q3894063,Paolo Francesco Giustinian,Paolo,Q64031004,Italian archbishop,1715,1789,"archbishop, Catholic priest, catholic deacon",
Q94506437,Sebastiano Crotta,,,,1732,1817,writer,
Q3998755,Trifone Gabriel,,Gabriel,,1470,1549,,
Q28599842,Antonio Palma,Antonio,Palma,"Italian painter, ca.1510-1575",1510,1575,painter,
Q55893167,Giovanni Battista Perucchini,Giovanni Battista,,,1784,1870,composer,
Q3898926,Pellegrino Pasquali,Pellegrino,,Italian typographer,1501,1600,typographer,
Q28468481,Marco Antonio Pordenone,,,,1535,1590,"composer, lutenist",
Q1490987,Gaetano Callido,Gaetano,Callido,organ builder,1727,1813,organ builder,
Q23857056,Q23857056,Bruno,,,1984,,futsal player,
Q11816875,Pietro Duodo,Pietro,,,1554,1610,"diplomat, literary",
Q1042128,Carlo Fedeli,Carlo,Fedeli,,1622,1685,composer,
Q58219078,Q58219078,Giuseppe,Marchi,,,,architect,
Q3610074,Alessandro Knips Macoppe,Alessandro,,Italian physician,1662,1744,physician,
Q3290076,Marco Condulmer,Marco,,roman-catholic patriarch,1405,1460,Catholic priest,
Q19515261,Gaspare da Verona,Gaspare,,"Veronese humanist, monk and university professor",1404,1474,"monk, university teacher",
Q3875873,Niccolò Liburnio,Niccolò,,Italian canon,1474,1557,"canon, romanist",
Q3619591,Antonio Fortunato Stella,Antonio,Stella,Italian typographer and publisher,1757,1833,"typographer, publisher",
Q3903416,Pierpaolo dalle Masegne,Pierpaolo,,Italian sculptor and architect,1301,1500,"architect, sculptor",
Q3619844,Antonio Maria Marini,"Antonio, Maria",Marini,Italian painter (1668-1725),1668,1725,painter,
Q3741679,Federico Conti,Federico,Conti,Italian typographer,1437,1477,typographer,
Q11762596,Lorenzo Bellotto,Lorenzo,Bellotto,painter (1744-1770),1744,1770,painter,
Q56735524,Francesco Zanetti,Francesco,Zannetti,,1530,1591,typographer,
Q3619682,Antonio Graziosi,Antonio,Graziosi,Italian typographer,1741,1818,typographer,
Q19984510,Q19984510,,,,1723,1793,,
Q11924258,Giovanni Battista Giuseppe Biancolini,"Giovanni, Giovanni Battista",,merchant and historian (1697-1780),1697,1780,"writer, historian, merchant, erudite",
Q22916128,Paolo Calvi,Paolo,Calvi,Italian biographer (1716-1781),1716,1781,biographer,
Q94574546,Q94574546,,,,1414,,politician,
Q21543493,Antonio Bongiovanni,Antonio,,Italian librarian and classical scholar,1712,_:t2,"librarian, classical scholar",
Q21636115,Maiolino Bisaccioni,,,,1582,1663,"writer, historian, translator",
Q3745346,Filippo Venuti,Filippo,Venuti,Italian linguist,1531,1587,"linguist, latinist",
Q52154232,Daniele Farsetti,,,,1725,1787,"writer, painter",
Q60978825,Q60978825,Giovanni,,,1440,1497,Renaissance humanist,
Q102183965,Andrea Da Lezze,,,,,,"military personnel, politician",
Q16558533,Gaspare Martinengo,Gaspare,,Italian condottiero,,1481,condottiero,
Q2050366,Paolo Ferrarese,Paolo,Ferrarese,Italian composer,1600,1700,"composer, poet",
Q3894063,Paolo Francesco Giustinian,Paolo,Q64031004,Italian archbishop,1715,1789,"archbishop, Catholic priest, catholic deacon",
Q3766390,Giovanni Anastasio Pozzobon,"Giovanni, Anastasio",,Italian poet and typographer,1713,1785,"poet, typographer",
Q22222860,Fortunato Mandelli,Fortunato,Mandelli,Italian historian and librarian (1728-1797),1728,1797,"librarian, historian",
Q3619350,Antonio Canal,Antonio,Canal,Italian politician,1521,1577,politician,
Q61476493,Girolamo Grimani,,,Venetian politician (18th century),1701,1800,politician,
Q16558981,Giacomo Contarini,Giacomo,Contarini,,1536,1595,,
Q3845418,Marcantonio Lombardi,Marcantonio,Lombardi,,1711,1782,Catholic priest,
Q3876534,Nicolò Antonio Giustinian,Nicolò,,roman-catholic bishop,1712,1796,Catholic priest,
Q16560852,Giuseppe Lorenzo Briati,"Lorenzo, Giuseppe",Briati,,1686,1772,glass artist,
Q18539678,Marzio Andreuzzi,Marcjusz,,Italian catholic bishop,1557,1622,Catholic priest,
Q23829709,Q23829709,,Moretti,,1601,1726,organ builder,
Q3619821,Antonio Marchetti,Antonio,Marchetti,Italian physician and surgeon,1640,1730,"physician, surgeon, anatomist",
Q21548719,Pietro Lucchesi,Pietro,Lucchesi,,1745,1823,,
Q1461146,Marco Grimani,Marco,Grimani,,1494,1544,Catholic priest,
Q18603501,Giambattista Maderni,Giambattista,,,1758,1803,"painter, drawer",
Q43288815,Q43288815,"Giovanni, Battista",Rospigliosi,,1646,1722,,
Q28374042,Q28374042,,,,,1167,military leader,
Q19946648,Carlo Battaglia,Carlo,Battaglia,Italian stage actor (18th c.),1701,,stage actor,
Q1080313,Ludovico Flangini Giovanelli,Ludovico,,Italian cardinal (1733-1804),1733,1804,"Catholic priest, catholic deacon",
Q3732085,Ermolao II Barbaro,Ermolao,Barbaro,roman-catholic patriarch,1548,1622,Catholic priest,
Q86676989,Giovanni Cavalli,Giovanni,,,1613,,,
Q16575899,Marco Nicola,Marco,Nicola,Italian catholic bishop,,1225,Catholic priest,
Q19403617,Pietro Donà,Pietro,Donà,,1390,1447,Renaissance humanist,
Q83590427,Paleologina Cornaro del Carpasso,,,,,,noble,
Q3768886,Girolamo Amaseo,Girolamo,,Italian renaissance humanist,1467,1517,Renaissance humanist,
Q78059814,Girolamo Cavazza,Girolamo,Cavazza,(1588-1681),1588,1681,diplomat,
Q3616949,Angelo Dalmistro,Angelo,,Italian presbyter,1754,1839,presbyter,
Q43288834,Q43288834,"Giovanni, Battista",Rospigliosi,,1726,1784,,
Q4013242,Vincenzo Drago,Vincenzo,Drago,Italian historian,1770,1836,historian,
Q4013236,Vincenzo Diedo,Vincenzo,Diedo,roman-catholic patriarch,1499,1559,politician,
Q3616949,Angelo Dalmistro,Angelo,,Italian presbyter,1754,1839,presbyter,
Q3749643,Francesco Bonazza,Francesco,Bonazza,Italian sculptor (1695-1770),1695,1770,sculptor,
Q3635364,Bartolomeo Dotti,Bartolomeo,Dotti,Italian poet,1651,1713,poet,
Q3768197,Giovanni Tacuino,Giovanni,,Italian publisher and typographer,,,"typographer, publisher",
Q42153628,Andrea Contarini,Andrea,Contarini,,1601,1675,,
Q3635438,Bartolomeo Zuccato,Bartolomeo,Zuccato,Italian historian,1492,1562,historian,
Q16488081,Angelo Dolfin,Angelo,Dolfin,Italian catholic bishop,,1336,Catholic priest,
Q5880124,Giovanni Caroto,Giovanni,Caroto,Italian painter (1488-1566),1488,1566,painter,
Q51080539,Carlo Zen,Carlo,Zen,Italian titular bishop,1772,1825,"diplomat, Catholic priest",
Q53503863,Antonio Luciani,Antonio,Luciani,"Italian landscapist and engraver, ca. 1700-ca. 1738",1700,1738,"graphic artist, printmaker, copperplate engraver, scientific illustrator, landscape painter, engraver, artist, painter",
Q94506878,Octavian Maria von Zorzi,,,,1757,1824,,
Q31440670,Alessandro Bassiano,Alessandro,,italian scholar,1503,1587,antiquarian,
Q58151504,Giovanni Antonio Manara,Giovanni,,,1627,1685,composer,
Q616422,Bernardino Zendrini,Bernardino,Zendrini,engineer of the Republic of Venice,1679,1747,engineer,
Q15948684,Domenico Zanatta,Domenico,Zanatta,Italian composer,1665,1748,composer,
Q3876352,Nicola Saverio Gamboni,Nicola,,Italian patriarch,1746,1808,Catholic priest,
Q323386,Giacomo Alberti,Giacomo,Alberti,Italian cardinal,1250,1335,"archbishop, canon",
Q94527801,Joseph Avelloni,Joseph,,,1761,1817,poet,
Q19985300,Cristoforo Marcello,Cristoforo,Marcello,"Italian theologian, archbishop and humanist",1480,1527,theologian,
Q3876534,Nicolò Antonio Giustinian,Nicolò,,roman-catholic bishop,1712,1796,Catholic priest,
Q5558,Bartolomeo Coghetto,Bartolomeo,,Italian painter and musician,1707,1793,"musician, painter",
Q28599842,Antonio Palma,Antonio,Palma,"Italian painter, ca.1510-1575",1515,1575,painter,
Q3769557,Giulio Cesare Becelli,"Giulio, Cesare",Becelli,Italian archivist and translator,1686,1750,"writer, translator, archivist, literary critic",
Q18747311,Giovanni Foscolo,Giovanni,Foscolo,,1781,1801,military personnel,
Q17341049,Angelo Maria Barbaro,Angelo,Barbaro,,1726,1779,"poet, abbot",
Q19984745,Q19984745,Claudio,,,1553,1643,jurist,
Q3050690,Elena Barozzi,Elena,Barozzi,,1514,1580,aristocrat,
Q31284594,Aleardus de Pindemontibus,,,,1400,,"writer, physician, Catholic priest",
Q3876534,Nicolò Antonio Giustinian,Nicolò,,roman-catholic bishop,1712,1796,Catholic priest,
Q17364331,Orazio Claudio Capra,Orazio,,Italian architect,1723,1799,architect,
Q17372479,Alfonso Capra,Alfonso,,,1562,1638,military personnel,
Q23309473,Giulio Cesare de' Rossi,Giulio,,Italian soldier,1519,1554,military leader,
Q3747046,Folco II d'Este,,,,1300,1400,condottiero,
Q63383005,Giacomo Ciesa,Giacomo,,,1733,1822,painter,
Q3613470,Alvise Mocenigo,Alvise,,Italian politician,1583,1654,politician,
Q62746146,Q62746146,,,,1524,1603,architect,
Q3638720,Bernardino Marin,Bernardino,Marin,,1739,1817,Catholic priest,
Q26263397,Zaccaria Lilio,Zaccaria,,,1452,1522,"canon, literary",
Q3894616,Paolo da Ponte,Paolo,,,1709,1791,"Catholic priest, discalced carmelite friar",
Q23677514,Bernardino Zanetti,Bernardino,Zanetti,,1690,1762,"historian, parson",
Q30250990,Andrea Zucchi,Andrea,Zucchi,"Italian painter, scenographer and printmaker, 1679-1740",1679,1740,"engraver, artist, painter, scenographer, etcher, printmaker, copperplate engraver",
Q84603595,Q84603595,Giovanni,,,1414,,diplomat,
Q93073918,Giorgio Emo,Giorgio,Emo,,1450,1521,politician,
Q21208738,Q21208738,Gianfrancesco,,,,1498,military leader,
Q6998832,Beata Eustochio,Beata,,,1444,1469,priest,
Q46998472,Pietro  Bellotti,Pietro,,Italian painter (1725-1818),1725,1818,painter,
Q3746370,Flaminio Corner,Flaminio,Corner,Italian historian,1693,1778,historian,
Q85290239,Q85290239,Michelangelo,,,1690,1756,painter,
Q61605725,Q61605725,,,,,,,
Q63869341,Q63869341,Sigismondo,,,1520,1574,painter,
Q3757149,Gaetano Valeri,Gaetano,Valeri,Italian composer,1760,1822,"composer, musician",
Q3750624,Francesco Saverio da Camino,"Francesco, Francesco Saverio",Da Camino,"Italian physician, surgeon and patriot",1786,1864,"physician, surgeon",
Q18814552,Laura Malipiero,Laura,Malipiero,,1602,1660,,
Q3107988,Giuseppe Betussi,Giuseppe,,Italian polygraph,1512,1573,"translator, polygraph",
Q52222232,Alessandro Magno,Alessandro,Magno,,1538,1576,,
Q18222849,Placido Bordoni,Plácido,,Italian historian,1736,1821,historian,
Q17166928,Laurentius Pignorius,"Lorenzo, Laurentius",Pignorius,,1571,1631,"historian, religious, antiquarian",
Q26253772,Arcoano Buzzaccarini,Arcoano,Buzzaccarini,politician,1330,1403,politician,
Q3904040,Pietro Marcello,Pietro,Marcello,Italian bishop and humanist,1376,1428,Catholic priest,
Q94530649,Sante Antonio Cimarosto,,,,1777,1847,,
Q3708533,Dionisio Dolfin,Dionisio,Dolfin,,1663,1734,Catholic priest,
Q22341862,Giacomo de' Rossi,Giacomo,,,1363,1418,priest,
Q18945280,Francesco degli Allegri,Francesco,,n. 1495?,1495,1570,poet,
Q54880867,Chiara Delfino,Chiara,Delfino,,,,Dogaressa,
Q3757149,Gaetano Valeri,Gaetano,Valeri,Italian composer,1760,1822,"composer, musician",
Q3992720,Tommaso Bonazza,Tommaso,Bonazza,Italian sculptor and architect (1696-1775),1696,1775,"architect, sculptor",
Q16531242,Bartolomeo Comino,Bartolomeo,,Italian civil servant,1550,1627,"diplomat, civil servant",
Q54880819,Elena Diedo,Elena,,,,,Dogaressa,
Q3762433,Giambattista Spolverini,Giambattista,,Italian poet,1695,1762,poet,
Q3643670,Brandolino III Brandolini,,,Italian condottiero,1350,1396,condottiero,
Q87068924,Alvise Foscari,Alvise,,,1724,1783,,
Q809495,Bartolomeo Ferrari,Bartolomeo,Ferrari,Italian sculptor (1780-1844),1780,1844,sculptor,
Q3762230,Giacomo Piazzetta,Giacomo,Piazzetta,Italian sculptor (1640-1705),1640,1705,sculptor,
Q30527875,Antonio Verico,Antonio,,"Italian printmaker, born ca. 1775",1775,1822,printmaker,
Q59265117,Regina Victoria Tourine,Regina,,Mother of Nikolaos Mantzaros,,,"poet, musician",
Q3767543,Giovanni Kreglianovich Albinoni,Giovanni,,"Italian writer, librettist and playwright",1777,1838,"writer, playwright, librettist",
Q44484896,Ottavio Trento,Ottavio,Trento,politician,1729,1812,politician,
Q94576178,Alexander Scaramelli,Alexander,,,1779,1862,composer,
Q94619241,Ignaz Ludwig Bianchi,"Ignazio, Ludovico",Bianchi,,1704,1770,writer,
Q19515261,Gaspare da Verona,Gaspare,,"Veronese humanist, monk and university professor",1400,1474,"monk, university teacher",
Q3613461,Alvise Casella,Alvise,Casella,Italian sculptor (1525-1590),1525,1590,sculptor,
Q16574361,Luigi Tadini,Luigi,Tadini,collezionista (1745-1829),1745,1829,"collector, art collector",
Q3638966,Bertuccio Bagarotto,,,Italian diplomat,,1509,diplomat,
Q60835297,Anna Binetti,Anna,,,1728,,ballet dancer,
Q27999327,Giacomo Cassetti,Giacomo,Cassetti,,1682,1757,sculptor,
Q3903674,Pietro Barbarigo,Pietro,Barbarigo,roman-catholic patriarch,1671,1725,Catholic priest,
Q3619351,Antonio Canal,Antonio,Canal,,1567,1650,politician,
Q3983935,Teofilo Orgiani,Teofilo,,Italian composer,1650,1725,composer,
Q3750016,Francesco Fulvio Frugoni,"Francesco, Fulvio",Frugoni,"Italian poet, writer and playwright",1620,1684,"writer, poet, playwright",
Q9144412,Q9144412,Alberto,,,1300,_:t1,military personnel,
Q54880916,Cristina Condulmiero,Cristina,,,,,Dogaressa,
Q4023587,Zaccaria Canal,Zaccaria,,Italian politician,1685,1746,"politician, diplomat",
Q3742610,Ferdinando II Gonzaga,Ferdinando,Gonzaga,,1648,1723,,
Q3034778,Domenico dalla Rosa,Domenico,,Italian painter (1778-1834),1778,1834,painter,
Q21207796,Q21207796,Ulisse,,,,1488,notary,
Q28374149,Q28374149,,,,,1541,,
Q3836897,Lorenzo Bregno,Lorenzo,Bregno,Italian sculptor (1460-1530),1460,1530,sculptor,
Q20512203,Zaccaria Seriman,Zaccaria,,Italian writer and poet,1708,1784,"writer, poet",
Q43255326,Vincenzo Giaconi,Vincenzo,Giaconi,"Italian engraver, 1760–1829",1760,1829,engraver,
Q3888427,Pace Pasini,Pace,Pasini,Italian poet and writer,1583,1644,"writer, poet",
Q21587869,Q21587869,Pietro,Rossi,,1620,1653,military leader,
Q17329163,Leonardo Trissino,Leonardo,,,1467,1511,,
Q87389941,Angelo Correr,Angelo,Correr,"Correr, Angelo; b. 12/2/1605; d. 4/27/1678; politician and ambassador",1605,1678,"politician, diplomat",
Q20895788,Giovanni Battista De Rubeis,Giovanni Battista,,painter from Italy (1743-1819),1743,1819,painter,
Q54880880,Arcangela Canali,Arcangela,Canali,Venetian noble woman,,,,
Q17285002,Jacopo Guberni,Jacopo,,Italian engineer,,1578,engineer,
Q21543495,Girolamo Cappello,Girolamo,Cappello,,1546,1614,"politician, civil servant",
Q3107337,Giovanni Sagredo,Giovanni,Sagredo,,1616,1691,diplomat,
Q61472457,Niccolò Barbarigo,,,author (18th century),1701,1800,"writer, politician",
Q3108006,Giuseppe Canziani,Giuseppe,Canziani,Italian ballet dancer and choreographer,1700,,"ballet dancer, ballet master, choreographer",
Q50041556,Guilio Carpioni,,,Italian artist,1611,1674,artist,
Q3856426,Michelangelo Andrioli,Michelangelo,,Italian physician,1672,1713,physician,
Q3972632,Stefano Paulovich-Lucich,Stefano,Paulovich-Lucich,,1790,1853,Catholic priest,
Q55227201,Baldassarre Drachio Quinzio,Baldassarre,,,1532,1616,writer,
Q3770748,Giuseppe Imer,Giuseppe,Imer,Italian actor,1700,1758,"actor, stage actor",
Q19410405,Giuseppe Furlanetto,Giuseppe,,Italian philologist and archeologist,1775,1848,"writer, archaeologist, philologist",
Q94528332,Joseph Fracasso,Joseph,,,1776,1853,writer,
Q8197375,Vertanes Askerian,,,,1720,1810,translator,
Q3762018,Giacomo Caimo,Giacomo,Caimo,,1609,1679,jurist,
Q21289511,Melchisedech Longhena,Melchisedech,Longhena,Italian mason,1566,1616,sculptor,
Q27093670,Gian Paolo Pace,Gian,,,1528,1560,painter,
Q94506026,Paul Anton Bernardo,Paul,,,1694,1774,,
Q45310865,Abbondio Rezzonico,,Rezzonico,,1742,1810,,
Q3830374,Leonardo Giustinian,Leonardo,Q64031004,Italian politician and humanist,1388,1446,"composer, politician, Renaissance humanist",
Q971789,Pietro Bon,Pietro,Bon,Italian architect and sculptor,1401,1529,"architect, sculptor",
Q16559955,Giovanni Francesco Mocenigo,Giovanni,,Italian politician,1558,1607,politician,
Q55226871,Matteo Dandolo,Matteo,Dandolo,,1741,1812,writer,
Q7001209,Giovanni Battista Natolini,Giovanni,,Italian typographer and writer,1551,1609,"writer, typographer",
Q48808735,Q48808735,,,,1287,1337,military leader,
Q55964768,Pietro Antonio Michiel,"Antonio, Pietro",Michiel,botanist (1510-1576),1510,1576,botanist,
Q3771406,Giuseppe Sardi,Giuseppe,Sardi,Italian architect (1624-1699),1624,1699,architect,
Q18175809,Giorgio Contarini,Giorgio,Contarini,senator,1584,1660,politician,
Q7982716,Innocente Bellavite,,,Italian painter and scenic designer (1690-1762),1690,1762,painter,
Q20165170,Marko Elez,Marko,,,1980,,water polo player,
Q3887168,Ottaviano Bon,Ottaviano,,,1552,1623,ambassador,
Q22069522,Giovan Battista Pellizzari,,,,1598,1660,painter,
Q55107978,Aurelio Lombardo,Aurelio,Lombardo,,1501,1563,sculptor,
Q3750177,Francesco Lucio,Francesco,Lucio,Italian composer and organist,1628,1658,"composer, organist",
Q16722089,Angelo Emo,Angelo,Emo,,1666,1750,military personnel,
Q3713112,Domenico Marchetti,Domenico,Marchetti,Italian surgeon and physician,1626,1688,"physician, surgeon, anatomist",
Q16744322,Antonio Foschini,Antonio,,Italian architect,1741,1813,architect,
Q60234869,Demetrio Damilas,Demetrio,,,_:t1,_:t1,"amanuensis, publisher",
Q94527949,Johann Baptist Armani,Johann,,,1768,1815,,
Q3651513,Camillo Gonzaga,Camillo,Gonzaga,Italian condottiero,1600,1658,condottiero,
Q33083493,Hrvoje Vučić,,,basketball player (1991-),1991,,basketball player,
Q23823709,Giacomo Marzari,Giacomo,Marzari,Venetian historian,1500,1600,historian,
Q48811031,David Rossi,David,Rossi,,1741,1827,"painter, decorator",
Q2943711,Cecilia Brusasorci,Cecilia,Brusasorci,painter (1549-1593),1549,1593,painter,
Q16606176,Sigismondo IV Gonzaga,Sigismondo,Gonzaga,,1702,1779,,
Q1500124,Ermes Flavio de Bonis,,,,1500,1514,"architect, sculptor",
Q3903893,Pietro Francesco Contarini,Pietro,,,1502,1556,,
Q3617181,Angelo Rangheri,Angelo,,Italian sculptor (1671-1740),1671,1740,sculptor,
Q21540049,Battista Vicentino,"Battista, Giovanni Battista",Vicentino,printmaker and miniaturist,1520,1584,painter,
Q960190,Galeazzo Gualdo Priorato,Galeazzo,,Italian historian and writer,1606,1678,"writer, diplomat, historian",
Q52418648,Sebastiano da Lugano,,,(1483-1528),1483,1528,sculptor,
Q63075075,Q63075075,,,,1375,1455,military affairs,
Q3623532,Arnaldo Speroni degli Alvarotti,Arnaldo,,,1727,1800,Catholic priest,
Q15583064,Salomone Ashkenazi,Salomone,Ashkenazi,Italian physician,1520,1604,physician,
Q3847585,Maria Vittoria Gonzaga,Maria,Gonzaga,,1659,1707,ruler,
Q29570248,Bartolomeo Querini,Bartolomeo,,,1230,1291,Catholic priest,
Q55833416,Q55833416,,,,1462,1513,politician,
Q55833116,Q55833116,Ginevra,Alighieri,,1532,,,
Q18529455,Franc Rotman,Franc,,,1700,1788,sculptor,
Q3838933,Lucio Scarano,Lucio,Scarano,Italian philosopher,1540,1610,philosopher,
Q27835186,Q27835186,,,,1710,1769,,
Q55228113,Angelo Geremia,Angelo,Geremia,,1693,1763,,
Q17069889,Tizianello,,,"Italian writer, biographer, painter and artist",1570,1650,"writer, artist, biographer, painter",
Q19984933,Dorotea Malatesta,Dorotea,Malatesta,,1478,1509,,
Q3768116,Giovanni Sebenico,Giovanni,,Italian opera singer and composer,1640,1705,"composer, opera singer",
Q51077305,Niccolo Guardi,Niccolò,,Italiaans; schilder; tekenaar; 1715-12-09; Venetië; 1785-05-26; Venetië,1715,1785,painter,
Q16531977,Benintendi Ravegnani,,,,1318,1365,notary,
Q93071929,Pancrazio Giustinian,,,,,1352,"politician, soldier",
Q11690771,Clemente Molli,Clemente,,,1599,1678,sculptor,
Q21506466,Valeriano Luigi Brera,,,Italian physician,1772,1840,physician,
Q23014868,Ilario Casarotti,Ilario,,,1772,1834,poet,
Q3766919,Giovanni Cadonici,Giovanni,Cadonici,Italian historian and writer,1705,1784,"writer, historian",
Q3766591,Giovanni Battista Bilesimo,Giovanni,,Italian academician,1716,1799,academic,
Q3946042,Salvatore Fabbrichesi,Salvatore,Fabbrichesi,Italian actor,1772,1827,"actor, stage actor",
Q86596406,Francesco Foscari,Francesco,,,1704,1790,,
Q3106988,Giovanni Andrea Della Croce,Giovanni,,,1515,1575,"physician, surgeon, anatomist",
Q1052776,Andrea Memmo,Andrea,Memmo,Italian politician and diplomat (1729-1793),1729,1793,"politician, diplomat",
Q28848737,Giacomo Treves de Bonfili,Giacomo,,,1788,1885,"businessperson, politician, art collector",
Q55916168,Jacopo Maria Paitoni,Iacopo,,,1710,1774,bibliographer,
Q3767747,Giovanni Minello,Giovanni,Minello,Italian sculptor (1440-1528),1440,1528,sculptor,
Q82772079,Q82772079,Gianpietro,,,,1603,,
Q15965584,Marcantonio Agazzi,Marcantonio,Agazzi,Italian catholic bishop,1646,1710,"Catholic priest, catholic deacon",
Q21415627,Angelo Costantini,Angelo,Costantini,Republic of Venice actor,1655,1729,actor,
Q85861816,Diego Zannandreis,Diego,,,1768,1836,writer,
Q11924259,Giovanni Antonio Riccieri,Giovanni,,,1679,1746,"composer, castrato",
Q54881096,Laura Zorzi,Laura,Zorzi,,,,Dogaressa,
Q94506759,Giovanni Antonio Bonicelli,,,,1750,1831,"librarian, numismatist",
Q15773465,Francesco Malipiero,Francesco,Malipiero,,1388,1451,,
Q3845584,Marcello Filosseno,Marcello,Filosseno,Italian religious,1450,1520,religious,
Q27067579,Antonino Valsecchi,Antonino,,,1708,1791,"teacher, apologist",
Q52162258,Emmanuele Lodi,Emmanuele,,,1770,1845,Catholic priest,
Q3642145,Bonifacio da Ponte,Bonifacio,,,1726,1810,Catholic priest,
Q3767881,Giovanni Paolo Savio,Giovanni,,,1587,1650,Catholic priest,
Q3712917,Domenico Bianchini,Domenico,Bianchini,Italian composer,1510,1576,"composer, sculptor, lutenist",
Q3760960,Gerardo Primiero,Gerardo,,,,1128,Catholic priest,
Q3659058,Carlo Bembo,Carlo,Bembo,,1472,1503,,
Q7261326,Bartolomeo Malacarne,Bartolomeo,Malacarne,Italian architect and urban planner,1782,1842,"architect, urban planner",
Q3651574,Camillo Scroffa,Camillo,Scroffa,Italian poet,1526,1565,poet,
Q93891873,Francesco Corner,Francesco,,,1356,1415,,
Q3713168,Domenico Orseolo,Domenico,,,,1036,,
Q3840217,Luigi Trezza,Luigi,Trezza,Italian engineer and architect,1752,1823,"architect, engineer",
Q3839783,Luigi Lollino,Luigi,,,1552,1625,Catholic priest,
Q64813562,Q64813562,,,,1656,1732,sculptor,
Q15623355,Silvestro Marcantonio Morosini,Silvestro,,Italian catholic bishop,1604,1639,Catholic priest,
Q3805952,Jacopo Zabarella il giovane,Jacopo,,Italian academician,1599,1679,academic,
Q15972060,Giovanni Piacentini,Giovanni,Piacentini,Italian archbishop,,1404,,
Q28071605,Giovanni Marini,Giovanni,,,1600,,"composer, kapellmeister",
Q54881129,Isabella de Fieschi,Isabella,,,,,Dogaressa,
Q3388199,Pietro Valier,Pietro,Valier,Italian cardinal of the seventeenth century.,1574,1629,Catholic priest,
Q3749621,Francesco Bernardino Caldogno,"Francesco, Bernardino",,Italian physician,1497,1580,physician,
Q60820930,Giovanni Alvise Rossi,Giovanni,Rossi,author (1776-1852),1776,1852,writer,
Q44485141,Francesco Querini,Francesco,,Italian Catholic archbishop,,1372,,
Q47492666,Jacob Da Carpi,Jacob,,"Born 1685, in Verona; died 1755, in Verona. Italian, Painter, art dealer. Active in Amsterdam.",1685,1755,painter,
Q3106988,Giovanni Andrea Della Croce,Giovanni,,,1509,1575,"physician, surgeon, anatomist",
Q3852294,Mattia Carneri,Mattia,Carneri,Italian sculptor and architect (1592-1674),1592,1674,"architect, sculptor",
Q3615514,Andrea Benedetto Ganassoni,Andrea,,Italian catholic priest,1734,1786,Catholic priest,
Q58218317,Carlo Barrera,Carlo,Barrera,,,1837,architect,
Q17993460,Coriolano Garzadoro,Coriolano,,Italian catholic bishop,1543,1618,"diplomat, Catholic priest",
Q89406177,Antonio Pianella,Antonio,,venetian printer and physician in XV century,,,printer,
Q17285138,Francesco Michiel,Francesco,Michiel,Italian archbishop,,1349,,
Q26262784,Giovanni Francesco Burana,Giovanni,,,1475,,"physician, translator",
Q3903850,Pietro Emiliani,Pietro,Emiliani,Italian politician,1362,1433,politician,
Q54880985,Regina Gradenico,Regina,,,,,Dogaressa,
Q94575961,Bartolomeo Zender,,,,1736,1821,,
Q23770938,Lombardo della Seta,,,,,1390,Renaissance humanist,
Q18681701,Carlo Antonio Pezzi,Carlo,,Italian writer,1754,1833,writer,
Q83925530,Q83925530,,,,1500,1514,mercenary,
Q86919287,Pietro Duodo,Pietro,,,1445,1513,politician,
Q3770585,Giuseppe Frari,Giuseppe,Frari,Italian physician,1738,1801,physician,
Q61483670,Antonio Barbaro,Antonio,Barbaro,Venetian jurist (floruit 1739),,,jurist,
Q83241279,Francesco Longo,Francesco,Longo,Venetian senator and historian,1529,,"politician, historian",
Q55679696,Girolamo Foscarini,Girolamo,,,1597,1655,nobility,
Q3762411,Giambattista Fontana,Giambattista,Fontana,Italian painter and engraver (1541-1587),1541,1587,"engraver, painter",
Q21513617,Gasparo Sartorio,,,,1625,1680,"composer, organist",
Q33090585,Q33090585,Cristoforo,,,1510,1562,naval officer,
Q3635382,Bartolomeo Gradenigo,Bartolomeo,,Archbishop of Udine,,1765,,
Q1893841,Marco Molin,Marco,Molin,Italian politician (1758-1818),1758,1818,politician,
Q94871990,Giovanni Falier,,,,1710,1808,,
Q54301084,Natalia Amalteo,Natalia,Amalteo,,,,,
Q23865128,Francesco Tomasini,Francesco,Tomasini,,1646,1800,,
Q4213981,Matej Karaman,Matej,Karaman,roman-catholic archbishop,1700,1771,"Catholic priest, linguist",
Q17327784,Francesco Calzolari,Francesco,Calzolari,Italian pharmacist and botanist (1522-1609),1522,1609,"pharmacist, botanist",
Q2215682,Salvatore Dal Negro,Salvatore,Dal Negro,Italian physicist,1768,1839,"physicist, university teacher",
Q3708510,Dionigi Naldi,Dionigi,Naldi,Italian condottiero,1465,1510,condottiero,
Q3907862,Pompeo Caimo,Pompeo,,Italian physician,1568,1631,physician,
Q56257328,Spyridon Drakoulis,,,Greek actor and fighter of Sacred Band (1821),1795,1821,stage actor,
Q17341077,Francesco Boaretti,Francesco,,,1748,1799,"poet, abbot",
Q37607085,Silvestro Manaigo,Silvestro,,"Italian painter, ca.1670-ca.1734",1660,1734,"painter, drawer",
Q54881140,Maria Pasqualigo,Maria,,,,,Dogaressa,
Q86729612,Nicolò Trevisan,Nicolò,Trevisan,,,1369,politician,
Q3664080,Cecco Brandolini,,,Italian condottiero,1434,1464,condottiero,
Q54881022,Maria Cappello,Maria,Cappello,,,,Dogaressa,
